codigo,nome,familia
GR,Guarda Redes,GR
GRC,Guarda Redes Construtor,GR
LATP,Lateral Profundo,Lateral
LATC,Lateral Construtor,Lateral
LATD,Lateral Defensivo,Lateral
DCC,Defesa Central Construtor,Defesa
DCA,Defesa Central Agressivo,Defesa
MDFP,Médio Defensivo Pivot,Médio
SEG,Segundo Médio,Médio
B2B,Médio Box-to-Box,Médio
MORG,Médio Organizador,Médio
10ORG,10 Organizador,Médio
SA,Segundo Avançado,Avançado
EXTA,Extremo Associativo,Extremo
EXT1V1,Extremo 1x1,Extremo
EXTP,Extremo de Profundidade,Extremo
PLR,Ponta de Lança Referência,Avançado
PLM,Ponta de Lança Móvel,Avançado
